;Criteria A;Criteria B;Criteria C;Criteria D;Criteria E;Criteria F;Stations AD;Stations AE;Stations AF;Stations BD;Stations BE;Stations BF;Stations CD;Stations CE;Stations CF;Raw_score;Score
18252;Commence par un B;Contient un H;Contient un P;Ne contient pas de E;Nom de 9 lettres ou moins;Termine par un E;2;9;7;4;6;7;4;7;4;33;3.5
18253;Commence par un B;Commence par un M;Moins de 1 km du chateau;Nom en 3 mots ou plus;Nord Loire;Sur la ligne de Busway 4;1;10;3;3;9;2;4;16;3;35;4.0
18254;Commence par un B;Commence par un M;Nom en 3 mots ou plus;Moins de 1 km du chateau;Nord Loire;Sur la ligne de Busway 4;3;10;3;1;9;2;4;14;4;34;4.0
18255;Commence par un B;Commence par un M;Nord Loire;Moins de 1 km du chateau;Nom en 3 mots ou plus;Sur la ligne de Busway 4;3;1;3;1;3;2;16;14;3;37;4.0
18256;Commence par un B;Commence par un M;Sur la ligne de Busway 4;Moins de 1 km du chateau;Nom en 3 mots ou plus;Nord Loire;3;1;10;1;3;9;3;4;3;39;4.5
18257;Moins de 1 km d une riviere;Sud Loire;Sur la ligne de Tramway 3;Sur une autre commune que Nantes;Termine par un E;Termine par un S;6;19;16;13;8;5;16;14;5;20;2.0
18258;Moins de 1 km d une riviere;Sud Loire;Sur une autre commune que Nantes;Sur la ligne de Tramway 3;Termine par un E;Termine par un S;12;19;16;10;8;5;16;12;3;21;2.5
18259;Moins de 1 km d une riviere;Sur la ligne de Tramway 3;Sur une autre commune que Nantes;Sud Loire;Termine par un E;Termine par un S;11;19;16;10;14;5;13;12;3;19;2.0
18260;Moins de 1 km d une riviere;Termine par un E;Termine par un S;Sud Loire;Sur la ligne de Tramway 3;Sur une autre commune que Nantes;11;12;6;8;14;12;5;5;3;27;3.0
18261;Commence par un M;Commence par une voyelle;Moins de 1 km de la Tour Bretagne;Sur 2 lignes ou plus;Sur la ligne de Tramway 3;Terminus de ligne;1;2;1;1;3;1;3;6;1;44;5.0
18262;Contient un P;Ile de Nantes;Moins de 1 km d une riviere;Nom de 9 lettres ou moins;Situe dans Nantes;Sur la ligne de Tramway 3;7;13;8;7;16;3;24;52;12;20;2.0
18263;Contient un P;Ile de Nantes;Nom de 9 lettres ou moins;Moins de 1 km d une riviere;Situe dans Nantes;Sur la ligne de Tramway 3;12;13;8;16;16;3;24;33;14;16;2.0
18264;Contient un P;Ile de Nantes;Situe dans Nantes;Moins de 1 km d une riviere;Nom de 9 lettres ou moins;Sur la ligne de Tramway 3;12;7;8;16;7;3;52;33;15;20;2.0
18265;Contient un P;Ile de Nantes;Sur la ligne de Tramway 3;Moins de 1 km d une riviere;Nom de 9 lettres ou moins;Situe dans Nantes;12;7;13;16;7;16;12;14;15;15;1.5
18266;Contient un P;Moins de 1 km d une riviere;Nom de 9 lettres ou moins;Ile de Nantes;Situe dans Nantes;Sur la ligne de Tramway 3;4;13;8;16;52;12;7;33;14;17;2.0
18267;Contient un P;Moins de 1 km d une riviere;Situe dans Nantes;Ile de Nantes;Nom de 9 lettres ou moins;Sur la ligne de Tramway 3;4;7;8;16;24;12;16;33;15;17;2.0
18268;Contient un P;Moins de 1 km d une riviere;Sur la ligne de Tramway 3;Ile de Nantes;Nom de 9 lettres ou moins;Situe dans Nantes;4;7;13;16;24;52;3;14;15;18;2.0
18269;Contient un P;Nom de 9 lettres ou moins;Situe dans Nantes;Ile de Nantes;Moins de 1 km d une riviere;Sur la ligne de Tramway 3;4;12;8;7;24;14;16;52;15;17;2.0
18270;Contient un P;Nom de 9 lettres ou moins;Sur la ligne de Tramway 3;Ile de Nantes;Moins de 1 km d une riviere;Situe dans Nantes;4;12;13;7;24;33;3;12;15;20;2.0
18271;Contient un P;Situe dans Nantes;Sur la ligne de Tramway 3;Ile de Nantes;Moins de 1 km d une riviere;Nom de 9 lettres ou moins;4;12;7;16;52;33;3;12;14;20;2.0
18272;Commence par un B;Moins de 1 km d une riviere;Moins de 1 km de la Tour Bretagne;Moins de 1 km du chateau;Nom en 3 mots ou plus;Sur la ligne de Busway 4;3;1;3;16;12;13;10;2;2;31;3.5
18273;Commence par un B;Moins de 1 km d une riviere;Moins de 1 km du chateau;Moins de 1 km de la Tour Bretagne;Nom en 3 mots ou plus;Sur la ligne de Busway 4;2;1;3;13;12;13;10;4;3;30;3.5
18274;Commence par un B;Moins de 1 km d une riviere;Nom en 3 mots ou plus;Moins de 1 km de la Tour Bretagne;Moins de 1 km du chateau;Sur la ligne de Busway 4;2;3;3;13;16;13;2;4;4;31;3.5
18275;Commence par un B;Moins de 1 km d une riviere;Sur la ligne de Busway 4;Moins de 1 km de la Tour Bretagne;Moins de 1 km du chateau;Nom en 3 mots ou plus;2;3;1;13;16;12;2;3;4;33;3.5
18276;Commence par un B;Moins de 1 km de la Tour Bretagne;Moins de 1 km du chateau;Moins de 1 km d une riviere;Nom en 3 mots ou plus;Sur la ligne de Busway 4;8;1;3;13;2;2;16;4;3;34;4.0
18277;Commence par un B;Moins de 1 km de la Tour Bretagne;Nom en 3 mots ou plus;Moins de 1 km d une riviere;Moins de 1 km du chateau;Sur la ligne de Busway 4;8;3;3;13;10;2;12;4;4;31;3.5
18278;Commence par un B;Moins de 1 km de la Tour Bretagne;Sur la ligne de Busway 4;Moins de 1 km d une riviere;Moins de 1 km du chateau;Nom en 3 mots ou plus;8;3;1;13;10;2;13;3;4;31;3.5
18279;Commence par un B;Moins de 1 km du chateau;Nom en 3 mots ou plus;Moins de 1 km d une riviere;Moins de 1 km de la Tour Bretagne;Sur la ligne de Busway 4;8;2;3;16;10;3;12;2;4;32;3.5
18280;Commence par un B;Moins de 1 km du chateau;Sur la ligne de Busway 4;Moins de 1 km d une riviere;Moins de 1 km de la Tour Bretagne;Nom en 3 mots ou plus;8;2;1;16;10;4;13;2;4;30;3.5
18281;Commence par un B;Nom en 3 mots ou plus;Sur la ligne de Busway 4;Moins de 1 km d une riviere;Moins de 1 km de la Tour Bretagne;Moins de 1 km du chateau;8;2;3;12;2;4;13;2;3;35;4.0
18282;Contient un H;Sur la ligne de Tramway 2;Sur la ligne de Tramway 3;Moins de 1 km de la Tour Bretagne;Moins de 1 km du chateau;Sur une autre commune que Nantes;5;4;6;5;6;3;6;4;16;34;4.0
18283;Contient une lettre doublee;Moins de 1km du peripherique;Sud Loire;Sur la ligne de Tramway 3;Termine par un S;Terminus de ligne;6;6;2;4;4;7;10;5;3;35;4.0
18284;Contient une lettre doublee;Moins de 1km du peripherique;Sur la ligne de Tramway 3;Sud Loire;Termine par un S;Terminus de ligne;4;6;2;4;4;7;10;5;2;35;4.0
18285;Contient une lettre doublee;Moins de 1km du peripherique;Termine par un S;Sud Loire;Sur la ligne de Tramway 3;Terminus de ligne;4;6;2;4;4;7;5;5;1;37;4.0
18286;Contient une lettre doublee;Moins de 1km du peripherique;Terminus de ligne;Sud Loire;Sur la ligne de Tramway 3;Termine par un S;4;6;6;4;4;4;3;2;1;39;4.5
18287;Contient une lettre doublee;Sud Loire;Sur la ligne de Tramway 3;Moins de 1km du peripherique;Termine par un S;Terminus de ligne;8;6;2;4;5;3;4;5;2;38;4.0
18288;Contient une lettre doublee;Sud Loire;Termine par un S;Moins de 1km du peripherique;Sur la ligne de Tramway 3;Terminus de ligne;8;6;2;4;10;3;4;5;1;36;4.0
18289;Contient une lettre doublee;Sud Loire;Terminus de ligne;Moins de 1km du peripherique;Sur la ligne de Tramway 3;Termine par un S;8;6;6;4;10;5;7;2;1;34;4.0
18290;Contient une lettre doublee;Sur la ligne de Tramway 3;Termine par un S;Moins de 1km du peripherique;Sud Loire;Terminus de ligne;8;4;2;4;10;2;4;5;1;36;4.0
18291;Contient une lettre doublee;Sur la ligne de Tramway 3;Terminus de ligne;Moins de 1km du peripherique;Sud Loire;Termine par un S;8;4;6;4;10;5;7;3;1;34;4.0
18292;Contient une lettre doublee;Termine par un S;Terminus de ligne;Moins de 1km du peripherique;Sud Loire;Sur la ligne de Tramway 3;8;4;6;4;5;5;7;3;2;36;4.0
18293;Moins de 2 km des machines;Ne contient pas de E;Nom de 9 lettres ou moins;Nord Loire;Sud Loire;Sur une autre commune que Nantes;17;3;2;11;3;4;31;7;12;28;3.0
18294;Moins de 2 km des machines;Ne contient pas de E;Sur une autre commune que Nantes;Nom de 9 lettres ou moins;Nord Loire;Sud Loire;11;17;3;12;11;3;12;16;13;21;2.5
18295;Moins de 2 km des machines;Nom de 9 lettres ou moins;Sur une autre commune que Nantes;Ne contient pas de E;Nord Loire;Sud Loire;5;17;3;12;31;7;4;16;13;22;2.5
18296;Moins de 2 km des machines;Nord Loire;Sud Loire;Ne contient pas de E;Nom de 9 lettres ou moins;Sur une autre commune que Nantes;5;11;2;11;31;16;3;7;13;24;2.5
18297;Commence par un B;Contient un H;Nom en 1 seul mot;Nord Loire;Sur la ligne de Busway 4;Sur une autre commune que Nantes;10;3;3;19;4;6;32;7;13;26;3.0
18298;Commence par un B;Contient un H;Nord Loire;Nom en 1 seul mot;Sur la ligne de Busway 4;Sur une autre commune que Nantes;12;3;3;7;4;6;32;3;16;30;3.5
18299;Commence par un B;Contient un H;Sur la ligne de Busway 4;Nom en 1 seul mot;Nord Loire;Sur une autre commune que Nantes;12;10;3;7;19;6;7;3;3;30;3.5
18300;Commence par un B;Contient un H;Sur une autre commune que Nantes;Nom en 1 seul mot;Nord Loire;Sur la ligne de Busway 4;12;10;3;7;19;4;13;16;3;24;2.5
18301;Commence par un B;Sur 2 lignes ou plus;Terminus de ligne;Nom en 1 seul mot;Nord Loire;Sur la ligne de Busway 4;12;10;3;4;3;2;4;8;2;35;4.0
18302;Commence par une voyelle;Moins de 2 km des machines;Moins de 2 km hippodrome;Sur la ligne de Tramway 3;Sur une autre commune que Nantes;Termine par un E;3;3;4;10;2;11;1;1;4;37;4.0
18303;Commence par une voyelle;Sur la ligne de Tramway 3;Sur une autre commune que Nantes;Moins de 2 km des machines;Moins de 2 km hippodrome;Termine par un E;3;2;4;10;1;14;2;1;12;34;4.0
18304;Commence par une voyelle;Sur la ligne de Tramway 3;Termine par un E;Moins de 2 km des machines;Moins de 2 km hippodrome;Sur une autre commune que Nantes;3;2;3;10;1;16;11;4;12;31;3.5
18305;Commence par une voyelle;Sur une autre commune que Nantes;Termine par un E;Moins de 2 km des machines;Moins de 2 km hippodrome;Sur la ligne de Tramway 3;3;2;3;2;1;16;11;4;14;33;3.5
18306;Commence par un M;Contient une lettre doublee;Moins de 1km du peripherique;Moins de 2 km hippodrome;Nord Loire;Sur la ligne de Tramway 2;2;9;4;4;21;9;7;23;9;27;3.0
18307;Commence par un M;Contient une lettre doublee;Moins de 2 km hippodrome;Moins de 1km du peripherique;Nord Loire;Sur la ligne de Tramway 2;2;9;4;8;21;9;7;12;10;26;3.0
18308;Commence par un M;Contient une lettre doublee;Nord Loire;Moins de 1km du peripherique;Moins de 2 km hippodrome;Sur la ligne de Tramway 2;2;2;4;8;4;9;23;12;20;28;3.0
18309;Commence par un M;Contient une lettre doublee;Sur la ligne de Tramway 2;Moins de 1km du peripherique;Moins de 2 km hippodrome;Nord Loire;2;2;9;8;4;21;9;10;20;27;3.0
18310;Commence par un M;Moins de 1km du peripherique;Moins de 2 km hippodrome;Contient une lettre doublee;Nord Loire;Sur la ligne de Tramway 2;4;9;4;8;23;9;4;12;10;26;3.0
18311;Commence par un M;Moins de 1km du peripherique;Nord Loire;Contient une lettre doublee;Moins de 2 km hippodrome;Sur la ligne de Tramway 2;4;2;4;8;7;9;21;12;20;26;3.0
18312;Commence par un M;Moins de 1km du peripherique;Sur la ligne de Tramway 2;Contient une lettre doublee;Moins de 2 km hippodrome;Nord Loire;4;2;9;8;7;23;9;10;20;25;3.0
18313;Commence par un M;Moins de 2 km hippodrome;Nord Loire;Contient une lettre doublee;Moins de 1km du peripherique;Sur la ligne de Tramway 2;4;2;4;4;7;10;21;23;20;25;3.0
18314;Commence par un M;Moins de 2 km hippodrome;Sur la ligne de Tramway 2;Contient une lettre doublee;Moins de 1km du peripherique;Nord Loire;4;2;9;4;7;12;9;9;20;28;3.0
18315;Commence par un M;Nord Loire;Sur la ligne de Tramway 2;Contient une lettre doublee;Moins de 1km du peripherique;Moins de 2 km hippodrome;4;2;2;21;23;12;9;9;10;26;3.0
18316;Commence par un M;Contient un H;Contient un P;Situe dans Nantes;Sur 2 lignes ou plus;Termine par un S;10;1;3;19;3;7;13;1;3;32;3.5
18317;Commence par un M;Contient un H;Situe dans Nantes;Contient un P;Sur 2 lignes ou plus;Termine par un S;2;1;3;4;3;7;13;8;19;32;3.5
18318;Commence par un M;Contient un H;Sur 2 lignes ou plus;Contient un P;Situe dans Nantes;Termine par un S;2;10;3;4;19;7;1;8;2;33;3.5
18319;Commence par un M;Contient un H;Termine par un S;Contient un P;Situe dans Nantes;Sur 2 lignes ou plus;2;10;1;4;19;3;3;19;2;33;3.5
18320;Commence par un M;Contient un P;Situe dans Nantes;Contient un H;Sur 2 lignes ou plus;Termine par un S;4;1;3;4;1;3;19;8;19;33;3.5
18321;Commence par un M;Contient un P;Sur 2 lignes ou plus;Contient un H;Situe dans Nantes;Termine par un S;4;10;3;4;13;3;3;8;2;34;4.0
18322;Commence par un M;Contient un P;Termine par un S;Contient un H;Situe dans Nantes;Sur 2 lignes ou plus;4;10;1;4;13;1;7;19;2;30;3.5
18323;Commence par un M;Situe dans Nantes;Sur 2 lignes ou plus;Contient un H;Contient un P;Termine par un S;4;2;3;19;13;19;3;1;2;32;3.5
18324;Commence par un M;Situe dans Nantes;Termine par un S;Contient un H;Contient un P;Sur 2 lignes ou plus;4;2;1;19;13;8;7;3;2;32;3.5
18325;Commence par un M;Sur 2 lignes ou plus;Termine par un S;Contient un H;Contient un P;Situe dans Nantes;4;2;10;3;1;8;7;3;19;33;3.5
18326;Ile de Nantes;Moins de 1 km d une riviere;Sur 2 lignes ou plus;Sur la ligne de Busway 5;Sur la ligne de Tramway 2;Termine par un E;12;3;5;15;14;19;2;6;2;28;3.0
18327;Ile de Nantes;Moins de 1 km d une riviere;Sur la ligne de Busway 5;Sur 2 lignes ou plus;Sur la ligne de Tramway 2;Termine par un E;4;3;5;8;14;19;2;1;4;32;3.5
18328;Ile de Nantes;Moins de 1 km d une riviere;Sur la ligne de Tramway 2;Sur 2 lignes ou plus;Sur la ligne de Busway 5;Termine par un E;4;12;5;8;15;19;6;1;7;27;3.0
18329;Ile de Nantes;Moins de 1 km d une riviere;Termine par un E;Sur 2 lignes ou plus;Sur la ligne de Busway 5;Sur la ligne de Tramway 2;4;12;3;8;15;14;2;4;7;28;3.0
18330;Ile de Nantes;Sur 2 lignes ou plus;Sur la ligne de Busway 5;Moins de 1 km d une riviere;Sur la ligne de Tramway 2;Termine par un E;16;3;5;8;6;2;15;1;4;32;3.5
18331;Ile de Nantes;Sur 2 lignes ou plus;Sur la ligne de Tramway 2;Moins de 1 km d une riviere;Sur la ligne de Busway 5;Termine par un E;16;12;5;8;2;2;14;1;7;29;3.0
18332;Ile de Nantes;Sur 2 lignes ou plus;Termine par un E;Moins de 1 km d une riviere;Sur la ligne de Busway 5;Sur la ligne de Tramway 2;16;12;3;8;2;6;19;4;7;28;3.0
18333;Ile de Nantes;Sur la ligne de Busway 5;Sur la ligne de Tramway 2;Moins de 1 km d une riviere;Sur 2 lignes ou plus;Termine par un E;16;4;5;15;2;4;14;6;7;27;3.0
18334;Ile de Nantes;Sur la ligne de Busway 5;Termine par un E;Moins de 1 km d une riviere;Sur 2 lignes ou plus;Sur la ligne de Tramway 2;16;4;3;15;2;1;19;2;7;30;3.5
18335;Ile de Nantes;Sur la ligne de Tramway 2;Termine par un E;Moins de 1 km d une riviere;Sur 2 lignes ou plus;Sur la ligne de Busway 5;16;4;12;14;6;1;19;2;4;27;3.0
18336;Commence par un M;Moins de 2 km hippodrome;Sur 2 lignes ou plus;Nom en 3 mots ou plus;Sur la ligne de Tramway 2;Termine par un S;3;4;3;4;10;3;2;6;2;39;4.5
18337;Commence par un M;Nom en 3 mots ou plus;Sur la ligne de Tramway 2;Moins de 2 km hippodrome;Sur 2 lignes ou plus;Termine par un S;2;1;3;4;2;8;10;6;5;37;4.0
18338;Commence par un M;Nom en 3 mots ou plus;Termine par un S;Moins de 2 km hippodrome;Sur 2 lignes ou plus;Sur la ligne de Tramway 2;2;1;4;4;2;6;3;2;5;41;4.5
18339;Commence par un M;Sur la ligne de Tramway 2;Termine par un S;Moins de 2 km hippodrome;Nom en 3 mots ou plus;Sur 2 lignes ou plus;2;3;1;10;6;6;3;8;2;38;4.0
18340;Contient un H;Contient une lettre doublee;Situe dans Nantes;Moins de 1km du peripherique;Moins de 2 km des machines;Sur la ligne de Tramway 3;7;8;6;8;8;6;13;30;15;23;2.5
18341;Contient un H;Contient une lettre doublee;Sur la ligne de Tramway 3;Moins de 1km du peripherique;Moins de 2 km des machines;Situe dans Nantes;7;8;19;8;8;22;4;10;15;21;2.5
18342;Contient un H;Moins de 1km du peripherique;Moins de 2 km des machines;Contient une lettre doublee;Situe dans Nantes;Sur la ligne de Tramway 3;6;19;6;8;13;4;8;30;10;23;2.5
18343;Contient un H;Situe dans Nantes;Sur la ligne de Tramway 3;Contient une lettre doublee;Moins de 1km du peripherique;Moins de 2 km des machines;6;7;8;22;13;30;6;4;10;23;2.5
18344;Commence par une voyelle;Moins de 1 km d une riviere;Ne contient pas de E;Moins de 1 km du chateau;Nord Loire;Sud Loire;1;6;1;16;31;11;1;11;3;30;3.5
18345;Ne contient pas de E;Nom de 9 lettres ou moins;Nom en 1 seul mot;Sur la ligne de Busway 5;Sur la ligne de Tramway 1;Termine par un S;3;5;2;7;15;6;8;20;8;29;3.0
18346;Ne contient pas de E;Nom de 9 lettres ou moins;Termine par un S;Nom en 1 seul mot;Sur la ligne de Busway 5;Sur la ligne de Tramway 1;12;3;5;36;7;15;8;5;4;27;3.0
18347;Ne contient pas de E;Nom en 1 seul mot;Termine par un S;Nom de 9 lettres ou moins;Sur la ligne de Busway 5;Sur la ligne de Tramway 1;12;3;5;36;8;20;6;5;4;28;3.0
18348;Ne contient pas de E;Sur la ligne de Busway 5;Sur la ligne de Tramway 1;Nom de 9 lettres ou moins;Nom en 1 seul mot;Termine par un S;12;12;2;7;8;5;15;20;4;25;3.0
18349;Commence par un B;Contient un H;Sur 2 lignes ou plus;Nord Loire;Situe dans Nantes;Sur la ligne de Tramway 3;10;11;4;19;19;6;3;8;6;26;3.0
18350;Moins de 1 km du chateau;Moins de 2 km des machines;Situe dans Nantes;Sur 2 lignes ou plus;Sur la ligne de Tramway 1;Sur la ligne de Tramway 3;3;5;4;8;8;10;8;28;15;26;3.0
18351;Moins de 1 km du chateau;Moins de 2 km des machines;Sur 2 lignes ou plus;Situe dans Nantes;Sur la ligne de Tramway 1;Sur la ligne de Tramway 3;16;5;4;30;8;10;8;2;6;27;3.0
18352;Moins de 1 km du chateau;Moins de 2 km des machines;Sur la ligne de Tramway 1;Situe dans Nantes;Sur 2 lignes ou plus;Sur la ligne de Tramway 3;16;3;4;30;8;10;28;2;1;27;3.0
18353;Moins de 1 km du chateau;Moins de 2 km des machines;Sur la ligne de Tramway 3;Situe dans Nantes;Sur 2 lignes ou plus;Sur la ligne de Tramway 1;16;3;5;30;8;8;15;6;1;27;3.0
18354;Moins de 1 km du chateau;Situe dans Nantes;Sur 2 lignes ou plus;Moins de 2 km des machines;Sur la ligne de Tramway 1;Sur la ligne de Tramway 3;11;5;4;30;28;15;8;2;6;25;3.0
18355;Moins de 1 km du chateau;Situe dans Nantes;Sur la ligne de Tramway 1;Moins de 2 km des machines;Sur 2 lignes ou plus;Sur la ligne de Tramway 3;11;3;4;30;8;15;8;2;1;29;3.0
18356;Moins de 1 km du chateau;Situe dans Nantes;Sur la ligne de Tramway 3;Moins de 2 km des machines;Sur 2 lignes ou plus;Sur la ligne de Tramway 1;11;3;5;30;8;28;10;6;1;27;3.0
18357;Moins de 1 km du chateau;Sur 2 lignes ou plus;Sur la ligne de Tramway 1;Moins de 2 km des machines;Situe dans Nantes;Sur la ligne de Tramway 3;11;16;4;8;8;6;8;28;1;26;3.0
18358;Moins de 1 km du chateau;Sur 2 lignes ou plus;Sur la ligne de Tramway 3;Moins de 2 km des machines;Situe dans Nantes;Sur la ligne de Tramway 1;11;16;5;8;8;2;10;15;1;26;3.0
18359;Moins de 1 km du chateau;Sur la ligne de Tramway 1;Sur la ligne de Tramway 3;Moins de 2 km des machines;Situe dans Nantes;Sur 2 lignes ou plus;11;16;3;8;28;2;10;15;6;24;2.5
18360;En correspondance avec un Chronobus;Ile de Nantes;Moins de 1 km du chateau;Nom en 3 mots ou plus;Sur 2 lignes ou plus;Sur la ligne de Busway 4;7;3;2;5;4;3;4;3;3;40;4.5
18361;En correspondance avec un Chronobus;Moins de 1 km de la Tour Bretagne;Sur une autre commune que Nantes;Ne contient pas de E;Nom de 9 lettres ou moins;Nom en 1 seul mot;3;13;10;2;7;5;4;12;13;27;3.0
18362;En correspondance avec un Chronobus;Ne contient pas de E;Nom de 9 lettres ou moins;Moins de 1 km de la Tour Bretagne;Nom en 1 seul mot;Sur une autre commune que Nantes;5;10;5;2;12;4;7;36;12;27;3.0
18363;En correspondance avec un Chronobus;Ne contient pas de E;Nom en 1 seul mot;Moins de 1 km de la Tour Bretagne;Nom de 9 lettres ou moins;Sur une autre commune que Nantes;5;13;5;2;12;4;5;36;13;26;3.0
18364;En correspondance avec un Chronobus;Nom de 9 lettres ou moins;Nom en 1 seul mot;Moins de 1 km de la Tour Bretagne;Ne contient pas de E;Sur une autre commune que Nantes;5;3;5;7;12;12;5;12;13;27;3.0
18365;En correspondance avec un Chronobus;Nord Loire;Situe dans Nantes;Sur 2 lignes ou plus;Sur la ligne de Busway 5;Sur la ligne de Tramway 1;3;3;9;3;3;35;8;15;28;29;3.0
18366;En correspondance avec un Chronobus;Nord Loire;Sur 2 lignes ou plus;Situe dans Nantes;Sur la ligne de Busway 5;Sur la ligne de Tramway 1;21;3;9;59;3;35;8;2;2;29;3.0
18367;En correspondance avec un Chronobus;Situe dans Nantes;Sur 2 lignes ou plus;Nord Loire;Sur la ligne de Busway 5;Sur la ligne de Tramway 1;23;3;9;59;15;28;3;2;2;27;3.0
18368;En correspondance avec un Chronobus;Sur la ligne de Busway 5;Sur la ligne de Tramway 1;Nord Loire;Situe dans Nantes;Sur 2 lignes ou plus;23;21;3;3;15;2;35;28;2;25;3.0
18369;Commence par un B;Commence par une voyelle;Moins de 1 km d une riviere;Ne contient pas de E;Sur la ligne de Busway 4;Sur la ligne de Tramway 1;2;3;4;1;1;1;11;13;14;33;3.5
18370;Commence par un B;Commence par une voyelle;Ne contient pas de E;Moins de 1 km d une riviere;Sur la ligne de Busway 4;Sur la ligne de Tramway 1;8;3;4;2;1;1;11;1;5;38;4.0
18371;Commence par un B;Commence par une voyelle;Sur la ligne de Busway 4;Moins de 1 km d une riviere;Ne contient pas de E;Sur la ligne de Tramway 1;8;2;4;2;1;1;13;1;1;38;4.0
18372;Commence par un B;Commence par une voyelle;Sur la ligne de Tramway 1;Moins de 1 km d une riviere;Ne contient pas de E;Sur la ligne de Busway 4;8;2;3;2;1;1;14;5;1;38;4.0
18373;Commence par un M;Contient un H;Moins de 1 km d une riviere;Situe dans Nantes;Sud Loire;Sur la ligne de Tramway 3;10;2;2;19;4;6;52;11;12;26;3.0
18374;Commence par un M;Contient un H;Situe dans Nantes;Moins de 1 km d une riviere;Sud Loire;Sur la ligne de Tramway 3;8;2;2;13;4;6;52;7;15;27;3.0
18375;Commence par un M;Contient un H;Sud Loire;Moins de 1 km d une riviere;Situe dans Nantes;Sur la ligne de Tramway 3;8;10;2;13;19;6;11;7;10;23;2.5
18376;Commence par un M;Contient un H;Sur la ligne de Tramway 3;Moins de 1 km d une riviere;Situe dans Nantes;Sud Loire;8;10;2;13;19;4;12;15;10;21;2.5
18377;Commence par un M;Moins de 1 km d une riviere;Situe dans Nantes;Contient un H;Sud Loire;Sur la ligne de Tramway 3;4;2;2;13;11;12;19;7;15;24;2.5
18378;Commence par un M;Moins de 1 km d une riviere;Sud Loire;Contient un H;Situe dans Nantes;Sur la ligne de Tramway 3;4;10;2;13;52;12;4;7;10;24;2.5
18379;Commence par un M;Moins de 1 km d une riviere;Sur la ligne de Tramway 3;Contient un H;Situe dans Nantes;Sud Loire;4;10;2;13;52;11;6;15;10;22;2.5
18380;Commence par un M;Situe dans Nantes;Sud Loire;Contient un H;Moins de 1 km d une riviere;Sur la ligne de Tramway 3;4;8;2;19;52;15;4;11;10;23;2.5
18381;Commence par un M;Situe dans Nantes;Sur la ligne de Tramway 3;Contient un H;Moins de 1 km d une riviere;Sud Loire;4;8;2;19;52;7;6;12;10;25;3.0
18382;Commence par un M;Sud Loire;Sur la ligne de Tramway 3;Contient un H;Moins de 1 km d une riviere;Situe dans Nantes;4;8;10;4;11;7;6;12;15;25;3.0
18383;Contient une lettre doublee;Ne contient pas de E;Termine par un E;Ile de Nantes;Nom en 1 seul mot;Nom en 3 mots ou plus;2;9;8;3;12;1;5;25;5;32;3.5
18384;Contient une lettre doublee;Nom en 1 seul mot;Nom en 3 mots ou plus;Ile de Nantes;Ne contient pas de E;Termine par un E;2;3;10;10;12;25;5;1;5;30;3.5
18385;Moins de 1 km d une riviere;Nom en 1 seul mot;Sur la ligne de Tramway 1;Situe dans Nantes;Sur la ligne de Tramway 2;Sur une autre commune que Nantes;52;14;6;38;7;13;28;1;7;20;2.0
18386;Moins de 1 km d une riviere;Nom en 1 seul mot;Sur la ligne de Tramway 2;Situe dans Nantes;Sur la ligne de Tramway 1;Sur une autre commune que Nantes;52;14;6;38;20;13;22;1;3;20;2.0
18387;Moins de 1 km d une riviere;Situe dans Nantes;Sur une autre commune que Nantes;Nom en 1 seul mot;Sur la ligne de Tramway 1;Sur la ligne de Tramway 2;27;14;14;38;28;22;13;7;3;15;1.5
18388;Moins de 1 km d une riviere;Sur la ligne de Tramway 1;Sur la ligne de Tramway 2;Nom en 1 seul mot;Situe dans Nantes;Sur une autre commune que Nantes;27;52;6;20;28;7;7;22;3;20;2.0
18389;Commence par un M;Contient un P;Moins de 1km du peripherique;Moins de 2 km hippodrome;Nom en 3 mots ou plus;Terminus de ligne;2;3;1;1;8;3;7;5;7;38;4.0
18390;Commence par un M;Contient un P;Moins de 2 km hippodrome;Moins de 1km du peripherique;Nom en 3 mots ou plus;Terminus de ligne;2;3;1;3;8;3;7;4;1;40;4.5
18391;Commence par un M;Contient un P;Nom en 3 mots ou plus;Moins de 1km du peripherique;Moins de 2 km hippodrome;Terminus de ligne;2;2;1;3;1;3;5;4;4;42;4.5
18392;Commence par un M;Contient un P;Terminus de ligne;Moins de 1km du peripherique;Moins de 2 km hippodrome;Nom en 3 mots ou plus;2;2;3;3;1;8;7;1;4;40;4.5
18393;Commence par un M;Moins de 1km du peripherique;Moins de 2 km hippodrome;Contient un P;Nom en 3 mots ou plus;Terminus de ligne;2;3;1;3;5;7;1;4;1;41;4.5
18394;Commence par un M;Moins de 1km du peripherique;Nom en 3 mots ou plus;Contient un P;Moins de 2 km hippodrome;Terminus de ligne;2;2;1;3;7;7;8;4;4;37;4.0
18395;Commence par un M;Moins de 1km du peripherique;Terminus de ligne;Contient un P;Moins de 2 km hippodrome;Nom en 3 mots ou plus;2;2;3;3;7;5;3;1;4;41;4.5
18396;Commence par un M;Moins de 2 km hippodrome;Nom en 3 mots ou plus;Contient un P;Moins de 1km du peripherique;Terminus de ligne;2;2;1;1;7;1;8;5;4;39;4.5
18397;Commence par un M;Moins de 2 km hippodrome;Terminus de ligne;Contient un P;Moins de 1km du peripherique;Nom en 3 mots ou plus;2;2;3;1;7;4;3;7;4;39;4.5
